FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
R,FL,beach,beach,beach,peach,stop,affricate,onset,training,,0,130,beach,beach
,CR,aid,aid,aid,ate,vowel,stop,offset,training,d,0,129,aid,aid
,FL,they,they,they,say,fricative,vowel,onset,training,,0,128,they,they
,CR,pot,pot,pod,pot,stop,stop,offset,training,t,1,127,pot,pot
V,FL,glean,glean,green,glean,stop,nasal,onset,training,,1,126,glean,glean
,FL,bathe,bathe,base,bathe,stop,fricative,offset,training,,1,125,bathe,bathe
,CR,pond,pond,pond,pound,stop,stop,vowel,training,d,0,124,pond,pond
R,FL,came,came,cane,came,stop,nasal,offset,training,,1,123,came,came
R,FL,tan,tan,tan,ten,stop,nasal,vowel,training,,0,122,tan,tan
V,FL,vine,vine,vine,vein,fricative,nasal,vowel,training,,0,121,vine,vine
,CR,lab,lab,lab,lap,liquid,stop,offset,training,b,0,120,lab,lab
R,FL,buys,buys,pies,buys,stop,fricative,onset,training,,1,119,buys,buys
,FL,rang,rang,rang,ran,liquid,nasal,offset,training,,0,118,rang,rang
,CR,hood,hood,hook,hood,fricative,stop,offset,training,d,1,117,hood,hood
,FL,clear,clear,queer,clear,stop,liquid,onset,training,,1,116,clear,clear
,FL,holds,holds,holds,holes,fricative,fricative,offset,training,,0,115,holds,holds
,CR,find,find,fond,find,fricative,stop,vowel,training,d,1,114,find,find
R,FL,gown,gown,gone,gown,stop,nasal,vowel,training,,1,113,pan,pan
V,FL,cords,cords,cores,cords,stop,fricative,offset,training,,1,112,cords,cords
,CR,vet,vet,vet,wet,fricative,stop,onset,training,t,0,111,vet,vet
R,FL,seen,seen,seen,seem,fricative,nasal,offset,training,,0,110,seen,seen
V,FL,green,green,green,grin,stop,nasal,vowel,training,,0,109,green,green
,CR,white,white,wide,white,approximant,stop,offset,training,t,1,108,white,white
,FL,falls,falls,FALSE,falls,fricative,fricative,offset,training,,1,107,falls,falls
