FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
R,FL,beach,beach,beach,peach,stop,affricate,onset,training,,0,1,beach,beach
,CR,aid,aid,aid,ate,vowel,stop,offset,training,d,0,2,aid,aid
,FL,they,they,they,say,fricative,vowel,onset,training,,0,3,they,they
,CR,pot,pot,pod,pot,stop,stop,offset,training,t,1,4,pot,pot
V,FL,glean,glean,green,glean,stop,nasal,onset,training,,1,5,glean,glean
,FL,bathe,bathe,base,bathe,stop,fricative,offset,training,,1,6,bathe,bathe
,CR,pond,pond,pond,pound,stop,stop,vowel,training,d,0,7,pond,pond
R,FL,came,came,cane,came,stop,nasal,offset,training,,1,8,came,came
R,FL,tan,tan,tan,ten,stop,nasal,vowel,training,,0,9,tan,tan
V,FL,vine,vine,vine,vein,fricative,nasal,vowel,training,,0,10,vine,vine
,CR,lab,lab,lab,lap,liquid,stop,offset,training,b,0,11,lab,lab
R,FL,buys,buys,pies,buys,stop,fricative,onset,training,,1,12,buys,buys
,FL,rang,rang,rang,ran,liquid,nasal,offset,training,,0,13,rang,rang
,CR,hood,hood,hook,hood,fricative,stop,offset,training,d,1,14,hood,hood
,FL,clear,clear,queer,clear,stop,liquid,onset,training,,1,15,clear,clear
,FL,holds,holds,holds,holes,fricative,fricative,offset,training,,0,16,holds,holds
,CR,find,find,fond,find,fricative,stop,vowel,training,d,1,17,find,find
R,FL,gown,gown,gone,gown,stop,nasal,vowel,training,,1,18,pan,pan
V,FL,cords,cords,cores,cords,stop,fricative,offset,training,,1,19,cords,cords
,CR,vet,vet,vet,wet,fricative,stop,onset,training,t,0,20,vet,vet
R,FL,seen,seen,seen,seem,fricative,nasal,offset,training,,0,21,seen,seen
V,FL,green,green,green,grin,stop,nasal,vowel,training,,0,22,green,green
,CR,white,white,wide,white,approximant,stop,offset,training,t,1,23,white,white
,FL,falls,falls,FALSE,falls,fricative,fricative,offset,training,,1,24,falls,falls
R,FL,sin,sin,sin,sing,fricative,nasal,offset,training,,0,25,sin,sin
,FL,lose,lose,loose,lose,liquid,fricative,offset,training,,1,26,lose,lose
,CR,head,head,heck,head,fricative,stop,offset,training,d,1,27,head,head
,FL,clown,clown,clown,clone,stop,nasal,vowel,training,,0,28,clown,clown
,FL,path,path,path,pass,stop,fricative,offset,training,,0,29,path,path
