FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
,FL,sends,sends,sends,sense,fricative,fricative,offset,training,,0,82,sends,sends
R,FL,sing,sing,sing,sin,fricative,nasal,offset,training,,0,83,sing,sing
,CR,clock,clock,clock,clog,stop,stop,offset,training,k,0,84,clock,clock
,FL,tomb,tomb,tune,tomb,stop,nasal,offset,training,,1,85,tomb,tomb
,FL,town,town,town,tone,stop,nasal,vowel,training,,0,86,town,town
,CR,lap,lap,lab,lap,liquid,stop,offset,training,p,1,87,lap,lap
,CR,drug,drug,drug,jug,stop,stop,onset,training,g,0,88,drug,drug
,FL,fail,fail,fell,fail,fricative,liquid,vowel,training,,1,89,fail,fail
,CR,cut,cut,cut,cup,stop,stop,offset,training,t,0,90,cut,cut
,FL,bull,bull,bull,ball,stop,liquid,vowel,training,,0,91,bull,bull
,FL,breathe,breathe,breeze,breathe,stop,fricative,offset,training,,1,92,breathe,breathe
,CR,pound,pound,pond,pound,stop,stop,vowel,training,d,1,93,pound,pound
V,FL,pain,pain,pain,pen,stop,nasal,vowel,training,,0,94,pain,pain
,CR,bag,bag,bag,bat,stop,stop,offset,training,g,0,95,bag,bag
,FL,draw,draw,draw,jaw,stop,vowel,onset,training,,0,96,draw,draw
R,FL,ten,ten,tan,ten,stop,nasal,vowel,training,,1,97,ten,ten
,CR,lip,lip,lip,lib,liquid,stop,offset,training,p,0,98,lip,lip
,FL,verve,verve,verb,verve,fricative,fricative,offset,training,,1,99,verve,verve
,CR,mob,mob,mop,mob,nasal,stop,offset,training,b,1,100,mob,mob
R,FL,fall,fall,fool,fall,fricative,liquid,vowel,training,,1,101,fall,fall
,CR,rode,rode,rode,wrote,liquid,stop,offset,training,d,0,102,rode,rode
,CR,sad,sad,sad,sat,fricative,stop,offset,training,d,0,103,sad,sad
R,FL,time,time,dime,time,stop,nasal,onset,training,,1,104,time,time
V,FL,soon,soon,soon,sewn,fricative,nasal,vowel,training,,0,105,soon,soon
,CR,gild,gild,guilt,gild,stop,stop,offset,training,d,1,106,gild,gild
R,FL,gloom,gloom,gloom,groom,stop,nasal,onset,training,,0,107,gloom,gloom
,CR,cop,cop,cob,cop,stop,stop,offset,training,p,1,108,cop,cop
V,FL,gun,gun,gum,gun,stop,nasal,offset,training,,1,109,gun,gun
,FL,tune,tune,tone,tune,stop,nasal,vowel,training,,1,110,tune,tune
,CR,god,god,god,got,stop,stop,offset,training,d,0,111,god,god
,FL,fields,fields,fields,feels,fricative,fricative,offset,training,,0,112,fields,fields
,CR,slide,slide,slide,slight,fricative,stop,offset,training,d,0,113,slide,slide
R,FL,die,die,tie,die,stop,vowel,onset,training,,1,114,die,die
,FL,robes,robes,ropes,robes,liquid,fricative,offset,training,,1,115,robes,robes
R,FL,team,team,team,teen,fricative,nasal,offset,training,,0,116,team,team
,CR,tuck,tuck,tug,tuck,stop,stop,offset,training,k,1,117,tuck,tuck
,FL,live,live,live,lib,liquid,fricative,offset,training,,0,118,live,live
,CR,mop,mop,mop,mob,nasal,stop,offset,training,p,0,119,mop,mop
R,FL,pool,pool,pull,pool,stop,liquid,vowel,training,,1,120,pool,pool
R,FL,teen,teen,team,teen,fricative,nasal,offset,training,,1,121,teen,teen
,CR,hut,hut,hug,hut,fricative,stop,offset,training,t,1,122,hut,hut
V,FL,ram,ram,ram,ran,liquid,nasal,offset,training,,0,123,ram,ram
,CR,sit,sit,sick,sit,fricative,stop,offset,training,t,1,124,sit,sit
,FL,cards,cards,cars,cards,stop,fricative,offset,training,,1,125,cards,cards
