FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
R,FL,beach,beach,peach,beach,stop,affricate,onset,training,,1,130,beach,beach
,CR,aid,aid,ate,aid,vowel,stop,offset,training,d,1,129,aid,aid
,FL,they,they,say,they,fricative,vowel,onset,training,,1,128,they,they
,CR,pot,pot,pot,pod,stop,stop,offset,training,t,0,127,pot,pot
V,FL,glean,glean,glean,green,stop,nasal,onset,training,,0,126,glean,glean
,FL,bathe,bathe,bathe,base,stop,fricative,offset,training,,0,125,bathe,bathe
,CR,pond,pond,pound,pond,stop,stop,vowel,training,d,1,124,pond,pond
R,FL,came,came,came,cane,stop,nasal,offset,training,,0,123,came,came
R,FL,tan,tan,ten,tan,stop,nasal,vowel,training,,1,122,tan,tan
V,FL,vine,vine,vein,vine,fricative,nasal,vowel,training,,1,121,vine,vine
,CR,lab,lab,lap,lab,liquid,stop,offset,training,b,1,120,lab,lab
R,FL,buys,buys,buys,pies,stop,fricative,onset,training,,0,119,buys,buys
,FL,rang,rang,ran,rang,liquid,nasal,offset,training,,1,118,rang,rang
,CR,hood,hood,hood,hook,fricative,stop,offset,training,d,0,117,hood,hood
,FL,clear,clear,clear,queer,stop,liquid,onset,training,,0,116,clear,clear
,FL,holds,holds,holes,holds,fricative,fricative,offset,training,,1,115,holds,holds
,CR,find,find,find,fond,fricative,stop,vowel,training,d,0,114,find,find
R,FL,gown,gown,gown,gone,stop,nasal,vowel,training,,0,113,pan,pan
V,FL,cords,cords,cords,cores,stop,fricative,offset,training,,0,112,cords,cords
,CR,vet,vet,wet,vet,fricative,stop,onset,training,t,1,111,vet,vet
R,FL,seen,seen,seem,seen,fricative,nasal,offset,training,,1,110,seen,seen
V,FL,green,green,grin,green,stop,nasal,vowel,training,,1,109,green,green
,CR,white,white,white,wide,approximant,stop,offset,training,t,0,108,white,white
,FL,falls,falls,falls,FALSE,fricative,fricative,offset,training,,0,107,falls,falls
R,FL,sin,sin,sing,sin,fricative,nasal,offset,training,,1,106,sin,sin
,FL,lose,lose,lose,loose,liquid,fricative,offset,training,,0,105,lose,lose
,CR,head,head,head,heck,fricative,stop,offset,training,d,0,104,head,head
,FL,clown,clown,clone,clown,stop,nasal,vowel,training,,1,103,clown,clown
,FL,path,path,pass,path,stop,fricative,offset,training,,1,102,path,path
,FL,train,train,train,chain,stop,nasal,onset,training,,0,101,train,train
,CR,look,look,luck,look,liquid,stop,vowel,training,k,1,100,look,look
,FL,though,though,though,so,fricative,vowel,onset,training,,0,99,though,though
R,FL,pies,pies,buys,pies,stop,fricative,onset,training,,1,98,pies,pies
,CR,ride,ride,right,ride,liquid,stop,offset,training,d,1,97,ride,ride
R,FL,peach,peach,beach,peach,stop,affricate,onset,training,,1,96,peach,peach
V,FL,sun,sun,sun,soon,fricative,nasal,vowel,training,,0,95,sun,sun
R,FL,win,win,win,wing,approximant,nasal,offset,training,,0,94,win,win
,CR,need,need,neat,need,nasal,stop,offset,training,d,1,93,need,need
,CR,beg,beg,beg,bed,stop,stop,offset,training,g,0,92,beg,beg
R,FL,seem,seem,seem,seen,fricative,nasal,offset,training,,0,91,seem,seem
,FL,beads,beads,beats,beads,stop,fricative,offset,training,,1,90,beads,beads
,CR,peak,peak,pig,peak,stop,stop,vowel,training,k,1,89,peak,peak
,FL,please,please,please,fleas,stop,fricative,onset,training,,0,88,please,please
,CR,put,put,pot,put,stop,stop,vowel,training,t,1,87,put,put
,CR,said,said,said,set,fricative,stop,offset,training,d,0,86,said,said
R,FL,fool,fool,fall,fool,fricative,liquid,vowel,training,,1,85,fool,fool
,FL,clean,clean,clean,queen,stop,nasal,onset,training,,0,84,clean,clean
,CR,shot,shot,shot,shock,fricative,stop,offset,training,t,0,83,shot,shot
R,FL,tie,tie,die,tie,stop,vowel,onset,training,,1,82,tie,tie
V,FL,some,some,some,sun,fricative,nasal,offset,training,,0,81,some,some
,CR,neat,neat,need,neat,nasal,stop,offset,training,t,1,80,neat,neat
,FL,carve,carve,car,carve,stop,fricative,offset,training,,1,79,carve,carve
R,FL,gone,gone,gown,gone,stop,nasal,vowel,training,,1,78,gone,gone
,CR,pat,pat,pat,pad,stop,stop,offset,training,t,0,77,pat,pat
,FL,fun,fun,phone,fun,fricative,nasal,vowel,training,,1,76,fun,fun
,CR,not,not,nod,not,nasal,stop,offset,training,t,1,75,not,not
R,FL,wing,wing,wing,win,approximant,nasal,offset,training,,0,74,wing,wing
,FL,serve,serve,sir,serve,fricative,fricative,offset,training,,1,73,serve,serve
,CR,good,good,good,could,stop,stop,onset,training,d,0,72,good,good
,CR,dig,dig,dig,dick,stop,stop,offset,training,g,0,71,dig,dig
R,FL,dime,dime,dime,time,stop,nasal,onset,training,,0,70,dime,dime
,FL,curve,curve,curb,curve,stop,fricative,offset,training,,1,69,curve,curve
,CR,wait,wait,wade,wait,approximant,stop,offset,training,t,1,68,wait,wait
,FL,gong,gong,gong,gone,stop,nasal,offset,training,,0,67,gong,gong
,CR,bed,bed,bed,bet,stop,stop,offset,training,d,0,66,bed,bed
R,FL,pull,pull,pool,pull,stop,liquid,vowel,training,,1,65,pull,pull
V,FL,thin,thin,thing,thin,fricative,nasal,offset,training,,1,64,thin,thin
,CR,late,late,late,laid,liquid,stop,offset,training,t,0,63,late,late
,CR,lib,lib,lip,lib,liquid,stop,offset,training,b,1,62,lib,lib
,FL,game,game,game,came,stop,nasal,onset,training,,0,61,game,game
,CR,shout,shout,shot,shout,fricative,stop,vowel,training,t,1,60,shout,shout
V,FL,cores,cores,course,cores,stop,fricative,offset,training,,1,59,cores,cores
V,FL,vein,vein,vein,wane,fricative,nasal,onset,training,,0,58,vein,vein
,CR,bad,bad,bad,bat,stop,stop,offset,training,d,0,57,bad,bad
,FL,rove,rove,robe,rove,liquid,fricative,offset,training,,1,56,rove,rove
,CR,got,got,god,got,stop,stop,offset,training,t,1,55,got,got
V,FL,gum,gum,gum,gun,stop,nasal,offset,training,,0,54,gum,gum
,CR,pet,pet,peck,pet,stop,stop,offset,training,t,1,53,pet,pet
,FL,herds,herds,herds,hers,fricative,fricative,offset,training,,0,52,herds,herds
,CR,night,night,neck,night,nasal,stop,vowel,training,t,1,51,night,night
R,FL,groom,groom,groom,gloom,stop,nasal,onset,training,,0,50,groom,groom
,FL,sends,sends,sends,sense,fricative,fricative,offset,training,,0,49,sends,sends
R,FL,sing,sing,sing,sin,fricative,nasal,offset,training,,0,48,sing,sing
,CR,clock,clock,clock,clog,stop,stop,offset,training,k,0,47,clock,clock
,FL,tomb,tomb,tune,tomb,stop,nasal,offset,training,,1,46,tomb,tomb
,FL,town,town,town,tone,stop,nasal,vowel,training,,0,45,town,town
,CR,lap,lap,lab,lap,liquid,stop,offset,training,p,1,44,lap,lap
,CR,drug,drug,drug,jug,stop,stop,onset,training,g,0,43,drug,drug
,FL,fail,fail,fell,fail,fricative,liquid,vowel,training,,1,42,fail,fail
,CR,cut,cut,cut,cup,stop,stop,offset,training,t,0,41,cut,cut
,FL,bull,bull,bull,ball,stop,liquid,vowel,training,,0,40,bull,bull
,FL,breathe,breathe,breeze,breathe,stop,fricative,offset,training,,1,39,breathe,breathe
,CR,pound,pound,pond,pound,stop,stop,vowel,training,d,1,38,pound,pound
V,FL,pain,pain,pain,pen,stop,nasal,vowel,training,,0,37,pain,pain
,CR,bag,bag,bag,bat,stop,stop,offset,training,g,0,36,bag,bag
,FL,draw,draw,draw,jaw,stop,vowel,onset,training,,0,35,draw,draw
R,FL,ten,ten,tan,ten,stop,nasal,vowel,training,,1,34,ten,ten
,CR,lip,lip,lip,lib,liquid,stop,offset,training,p,0,33,lip,lip
,FL,verve,verve,verb,verve,fricative,fricative,offset,training,,1,32,verve,verve
,CR,mob,mob,mop,mob,nasal,stop,offset,training,b,1,31,mob,mob
R,FL,fall,fall,fool,fall,fricative,liquid,vowel,training,,1,30,fall,fall
,CR,rode,rode,rode,wrote,liquid,stop,offset,training,d,0,29,rode,rode
,CR,sad,sad,sad,sat,fricative,stop,offset,training,d,0,28,sad,sad
R,FL,time,time,dime,time,stop,nasal,onset,training,,1,27,time,time
V,FL,soon,soon,soon,sewn,fricative,nasal,vowel,training,,0,26,soon,soon
,CR,gild,gild,guilt,gild,stop,stop,offset,training,d,1,25,gild,gild
R,FL,gloom,gloom,gloom,groom,stop,nasal,onset,training,,0,24,gloom,gloom
,CR,cop,cop,cob,cop,stop,stop,offset,training,p,1,23,cop,cop
V,FL,gun,gun,gum,gun,stop,nasal,offset,training,,1,22,gun,gun
,FL,tune,tune,tone,tune,stop,nasal,vowel,training,,1,21,tune,tune
