FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
,CR,god,god,god,got,stop,stop,offset,training,d,0,20,god,god
,FL,fields,fields,fields,feels,fricative,fricative,offset,training,,0,19,fields,fields
,CR,slide,slide,slide,slight,fricative,stop,offset,training,d,0,18,slide,slide
R,FL,die,die,tie,die,stop,vowel,onset,training,,1,17,die,die
,FL,robes,robes,ropes,robes,liquid,fricative,offset,training,,1,16,robes,robes
R,FL,team,team,team,teen,fricative,nasal,offset,training,,0,15,team,team
,CR,tuck,tuck,tug,tuck,stop,stop,offset,training,k,1,14,tuck,tuck
,FL,live,live,live,lib,liquid,fricative,offset,training,,0,13,live,live
,CR,mop,mop,mop,mob,nasal,stop,offset,training,p,0,12,mop,mop
R,FL,pool,pool,pull,pool,stop,liquid,vowel,training,,1,11,pool,pool
R,FL,teen,teen,team,teen,fricative,nasal,offset,training,,1,10,teen,teen
,CR,hut,hut,hug,hut,fricative,stop,offset,training,t,1,9,hut,hut
V,FL,ram,ram,ram,ran,liquid,nasal,offset,training,,0,8,ram,ram
,CR,sit,sit,sick,sit,fricative,stop,offset,training,t,1,7,sit,sit
,FL,cards,cards,cars,cards,stop,fricative,offset,training,,1,6,cards,cards
,FL,peas,peas,peas,peace,stop,fricative,offset,training,,0,5,peas,peas
,CR,lad,lad,lad,lab,liquid,stop,offset,training,d,0,4,lad,lad
V,FL,thing,thing,sing,thing,fricative,nasal,onset,training,,1,3,thing,thing
,FL,room,room,room,roam,liquid,nasal,vowel,training,,0,2,room,room
R,FL,cane,cane,cane,came,stop,nasal,offset,training,,0,1,cane,cane
,CR,feet,feet,feet,feed,fricative,stop,offset,test2,t,0,32,feet2,feet
R,FL,gave,gave,cave,gave,stop,fricative,onset,test2,,1,31,gave,gave
,CR,bud,bud,but,bud,stop,stop,offset,test2,d,1,30,bud2,bud
R,FL,dune,dune,doom,dune,stop,nasal,offset,test2,,1,29,dune,dune
R,FL,moss,moss,moss,mouse,stop,fricative,vowel,test2,,0,28,moss,moss
R,FL,dune,dune,dune,doom,stop,nasal,offset,test2,,0,27,dune2,dune
,CR,duck,duck,dug,duck,stop,stop,offset,test2,k,1,26,duck2,duck
R,FL,pen,pen,pen,pan,stop,nasal,vowel,test2,,0,25,pen2,pen
R,FL,doom,doom,dune,doom,stop,nasal,offset,test2,,1,24,doom2,doom
,CR,tab,tab,tap,tab,stop,stop,offset,test2,b,1,23,tab2,tab
R,FL,cave,cave,cave,gave,stop,fricative,onset,test2,,0,22,cave,cave
R,FL,wren,wren,ran,wren,liquid,nasal,vowel,test2,,1,21,wren,wren
,CR,dug,dug,dug,duck,stop,stop,offset,test2,g,0,20,dug2,dug
R,FL,mess,mess,mess,mice,nasal,fricative,vowel,test2,,0,19,mess2,mess
R,FL,cave,cave,gave,cave,stop,fricative,onset,test2,,1,18,cave2,cave
R,FL,run,run,run,rum,liquid,nasal,offset,test2,,0,17,run2,run
,CR,sack,sack,sack,sag,fricative,stop,offset,test2,k,0,16,sack2,sack
R,FL,batch,batch,patch,batch,stop,affricate,onset,test2,,1,15,batch,batch
R,FL,run,run,rum,run,liquid,nasal,offset,test2,,1,14,run,run
,CR,feed,feed,feed,feet,fricative,stop,offset,test2,d,0,13,feed2,feed
R,FL,goal,goal,coal,goal,stop,liquid,onset,test2,,1,12,goal2,goal
,CR,robe,robe,rope,robe,liquid,stop,offset,test2,b,1,11,robe2,robe
,CR,sag,sag,sack,sag,fricative,stop,offset,test2,g,1,10,sag2,sag
R,FL,ran,ran,ran,wren,liquid,nasal,vowel,test2,,0,9,ran,ran
R,FL,hone,hone,home,hone,fricative,nasal,offset,test2,,1,8,hone2,hone
,CR,but,but,bud,but,stop,stop,offset,test2,t,1,7,but2,but
R,FL,ran,ran,ran,wren,liquid,nasal,vowel,test2,,0,6,ran2,ran
R,FL,patch,patch,patch,batch,stop,affricate,onset,test2,,0,5,patch2,patch
,CR,tap,tap,tap,tab,stop,stop,offset,test2,p,0,4,tap2,tap
R,FL,gave,gave,cave,gave,stop,fricative,onset,test2,,1,3,gave2,gave
R,FL,pan,pan,pan,pen,stop,nasal,vowel,test2,,0,2,pan,pan
,CR,rope,rope,rope,robe,liquid,stop,offset,test2,p,0,1,rope2,rope
,CR,but,but,but,bud,stop,stop,offset,test1,t,0,32,but,but
R,FL,rum,rum,run,rum,liquid,nasal,offset,test1,,1,31,rum2,rum
R,FL,home,home,home,hone,fricative,nasal,offset,test1,,0,30,home,home
,CR,sack,sack,sag,sack,fricative,stop,offset,test1,k,1,29,sack,sack
R,FL,mess,mess,mice,mess,nasal,fricative,vowel,test1,,1,28,mess,mess
,CR,tab,tab,tab,tap,stop,stop,offset,test1,b,0,27,tab,tab
R,FL,moss,moss,moss,mouse,stop,fricative,vowel,test1,,0,26,moss2,moss
R,FL,coal,coal,goal,coal,stop,liquid,onset,test1,,1,25,coal2,coal
,CR,duck,duck,dug,duck,stop,stop,offset,test1,k,1,24,duck,duck
R,FL,goal,goal,goal,coal,stop,liquid,onset,test1,,0,23,goal,goal
R,FL,wren,wren,ran,wren,liquid,nasal,vowel,test1,,1,22,wren2,wren
R,FL,coal,coal,coal,goal,stop,liquid,onset,test1,,0,21,coal,coal
,CR,dug,dug,dug,duck,stop,stop,offset,test1,g,0,20,dug,dug
R,FL,batch,batch,patch,batch,stop,affricate,onset,test1,,1,19,batch2,batch
R,FL,hone,hone,hone,home,fricative,nasal,offset,test1,,0,18,hone,hone
,CR,bud,bud,but,bud,stop,stop,offset,test1,d,1,17,bud,bud
R,FL,patch,patch,batch,patch,stop,affricate,onset,test1,,1,16,patch,patch
R,FL,pen,pen,pen,pan,stop,nasal,vowel,test1,,0,15,pen,pen
R,FL,mice,mice,mess,mice,nasal,fricative,vowel,test1,,1,14,mice,mice
,CR,rope,rope,robe,rope,liquid,stop,offset,test1,p,1,13,rope,rope
R,FL,mouse,mouse,mouse,moss,nasal,fricative,onset,test1,,0,12,mouse,mouse
,CR,feed,feed,feed,feet,fricative,stop,offset,test1,d,0,11,feed,feed
R,FL,doom,doom,doom,dune,stop,nasal,offset,test1,,0,10,doom,doom
R,FL,pan,pan,pen,pan,stop,nasal,vowel,test1,,1,9,pan2,pan
,CR,sag,sag,sag,sack,fricative,stop,offset,test1,g,0,8,sag,sag
R,FL,home,home,home,hone,fricative,nasal,offset,test1,,0,7,home2,home
,CR,robe,robe,rope,robe,liquid,stop,offset,test1,b,1,6,robe,robe
,CR,tap,tap,tap,tab,stop,stop,offset,test1,p,0,5,tap,tap
R,FL,mice,mice,mess,mice,nasal,fricative,vowel,test1,,1,4,mice2,mice
R,FL,rum,rum,rum,run,liquid,nasal,offset,test1,,0,3,rum,rum
R,FL,mouse,mouse,moss,mouse,nasal,fricative,onset,test1,,1,2,mouse2,mouse
,CR,feet,feet,feed,feet,fricative,stop,offset,test1,t,1,1,feet,feet
