FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
R,FL,beach,beach,beach,peach,stop,affricate,onset,training,,0,1,beach,left
,CR,aid,aid,aid,ate,vowel,stop,offset,training,d,0,2,aid,left
,FL,they,they,they,say,fricative,vowel,onset,training,,0,3,they,left
,CR,pot,pot,pod,pot,stop,stop,offset,training,t,1,4,pot,right
V,FL,glean,glean,green,glean,stop,nasal,onset,training,,1,5,glean,right
,FL,bathe,bathe,base,bathe,stop,fricative,offset,training,,1,6,bathe,right
,CR,pond,pond,pond,pound,stop,stop,vowel,training,d,0,7,pond,left
R,FL,came,came,cane,came,stop,nasal,offset,training,,1,8,came,right
R,FL,tan,tan,tan,ten,stop,nasal,vowel,training,,0,9,tan,left
V,FL,vine,vine,vine,vein,fricative,nasal,vowel,training,,0,10,vine,left
,CR,lab,lab,lab,lap,liquid,stop,offset,training,b,0,11,lab,left
R,FL,buys,buys,pies,buys,stop,fricative,onset,training,,1,12,buys,right
,FL,rang,rang,rang,ran,liquid,nasal,offset,training,,0,13,rang,left
,CR,hood,hood,hook,hood,fricative,stop,offset,training,d,1,14,hood,right
,FL,clear,clear,queer,clear,stop,liquid,onset,training,,1,15,clear,right
,FL,holds,holds,holds,holes,fricative,fricative,offset,training,,0,16,holds,left
,CR,find,find,fond,find,fricative,stop,vowel,training,d,1,17,find,right
R,FL,gown,gown,gone,gown,stop,nasal,vowel,training,,1,18,pan,right
V,FL,cords,cords,cores,cords,stop,fricative,offset,training,,1,19,cords,right
,CR,vet,vet,vet,wet,fricative,stop,onset,training,t,0,20,vet,left
R,FL,seen,seen,seen,seem,fricative,nasal,offset,training,,0,21,seen,left
V,FL,green,green,green,grin,stop,nasal,vowel,training,,0,22,green,left
,CR,white,white,wide,white,approximant,stop,offset,training,t,1,23,white,right
,FL,falls,falls,false,falls,fricative,fricative,offset,training,,1,24,falls,right
R,FL,sin,sin,sin,sing,fricative,nasal,offset,training,,0,25,sin,left
,FL,lose,lose,loose,lose,liquid,fricative,offset,training,,1,26,lose,right
,CR,head,head,heck,head,fricative,stop,offset,training,d,1,27,head,right
,FL,clown,clown,clown,clone,stop,nasal,vowel,training,,0,28,clown,left
,FL,path,path,path,pass,stop,fricative,offset,training,,0,29,path,left
,FL,train,train,chain,train,stop,nasal,onset,training,,1,30,train,right
,CR,look,look,look,luck,liquid,stop,vowel,training,k,0,31,look,left
,FL,though,though,so,though,fricative,vowel,onset,training,,1,32,though,right
R,FL,pies,pies,pies,buys,stop,fricative,onset,training,,0,33,pies,left
,CR,ride,ride,ride,right,liquid,stop,offset,training,d,0,34,ride,left
R,FL,peach,peach,peach,beach,stop,affricate,onset,training,,0,35,peach,left
V,FL,sun,sun,soon,sun,fricative,nasal,vowel,training,,1,36,sun,right
R,FL,win,win,wing,win,approximant,nasal,offset,training,,1,37,win,right
,CR,need,need,need,neat,nasal,stop,offset,training,d,0,38,need,left
,CR,beg,beg,bed,beg,stop,stop,offset,training,g,1,39,beg,right
R,FL,seem,seem,seen,seem,fricative,nasal,offset,training,,1,40,seem,right
,FL,beads,beads,beads,beats,stop,fricative,offset,training,,0,41,beads,left
,CR,peak,peak,peak,pig,stop,stop,vowel,training,k,0,42,peak,left
,FL,please,please,fleas,please,stop,fricative,onset,training,,1,43,please,right
,CR,put,put,put,pot,stop,stop,vowel,training,t,0,44,put,left
,CR,said,said,set,said,fricative,stop,offset,training,d,1,45,said,right
R,FL,fool,fool,fool,fall,fricative,liquid,vowel,training,,0,46,fool,left
,FL,clean,clean,queen,clean,stop,nasal,onset,training,,1,47,clean,right
,CR,shot,shot,shock,shot,fricative,stop,offset,training,t,1,48,shot,right
R,FL,tie,tie,tie,die,stop,vowel,onset,training,,0,49,tie,left
V,FL,some,some,sun,some,fricative,nasal,offset,training,,1,50,some,right
,CR,neat,neat,neat,need,nasal,stop,offset,training,t,0,51,neat,left
,FL,carve,carve,carve,car,stop,fricative,offset,training,,0,52,carve,left
R,FL,gone,gone,gone,gown,stop,nasal,vowel,training,,0,53,gone,left
,CR,pat,pat,pad,pat,stop,stop,offset,training,t,1,54,pat,right
,FL,fun,fun,fun,phone,fricative,nasal,vowel,training,,0,55,fun,left
,CR,not,not,not,nod,nasal,stop,offset,training,t,0,56,not,left
R,FL,wing,wing,win,wing,approximant,nasal,offset,training,,1,57,wing,right
,FL,serve,serve,serve,sir,fricative,fricative,offset,training,,0,58,serve,left
,CR,good,good,could,good,stop,stop,onset,training,d,1,59,good,right
,CR,dig,dig,dick,dig,stop,stop,offset,training,g,1,60,dig,right
R,FL,dime,dime,time,dime,stop,nasal,onset,training,,1,61,dime,right
,FL,curve,curve,curve,curb,stop,fricative,offset,training,,0,62,curve,left
,CR,wait,wait,wait,wade,approximant,stop,offset,training,t,0,63,wait,left
,FL,gong,gong,gone,gong,stop,nasal,offset,training,,1,64,gong,right
,CR,bed,bed,bet,bed,stop,stop,offset,training,d,1,65,bed,right
R,FL,pull,pull,pull,pool,stop,liquid,vowel,training,,0,66,pull,left
V,FL,thin,thin,thin,thing,fricative,nasal,offset,training,,0,67,thin,left
,CR,late,late,laid,late,liquid,stop,offset,training,t,1,68,late,right
,CR,lib,lib,lib,lip,liquid,stop,offset,training,b,0,69,lib,left
,FL,game,game,came,game,stop,nasal,onset,training,,1,70,game,right
,CR,shout,shout,shout,shot,fricative,stop,vowel,training,t,0,71,shout,left
V,FL,cores,cores,cores,course,stop,fricative,offset,training,,0,72,cores,left
V,FL,vein,vein,wane,vein,fricative,nasal,onset,training,,1,73,vein,right
,CR,bad,bad,bat,bad,stop,stop,offset,training,d,1,74,bad,right
,FL,rove,rove,rove,robe,liquid,fricative,offset,training,,0,75,rove,left
,CR,got,got,got,god,stop,stop,offset,training,t,0,76,got,left
V,FL,gum,gum,gun,gum,stop,nasal,offset,training,,1,77,gum,right
,CR,pet,pet,pet,peck,stop,stop,offset,training,t,0,78,pet,left
,FL,herds,herds,hers,herds,fricative,fricative,offset,training,,1,79,herds,right
,CR,night,night,night,neck,nasal,stop,vowel,training,t,0,80,night,left
R,FL,groom,groom,gloom,groom,stop,nasal,onset,training,,1,81,groom,right
,FL,sends,sends,sense,sends,fricative,fricative,offset,training,,1,82,sends,right
R,FL,sing,sing,sin,sing,fricative,nasal,offset,training,,1,83,sing,right
,CR,clock,clock,clog,clock,stop,stop,offset,training,k,1,84,clock,right
,FL,tomb,tomb,tomb,tune,stop,nasal,offset,training,,0,85,tomb,left
,FL,town,town,tone,town,stop,nasal,vowel,training,,1,86,town,right
,CR,lap,lap,lap,lab,liquid,stop,offset,training,p,0,87,lap,left
,CR,drug,drug,jug,drug,stop,stop,onset,training,g,1,88,drug,right
,FL,fail,fail,fail,fell,fricative,liquid,vowel,training,,0,89,fail,left
,CR,cut,cut,cup,cut,stop,stop,offset,training,t,1,90,cut,right
,FL,bull,bull,ball,bull,stop,liquid,vowel,training,,1,91,bull,right
,FL,breathe,breathe,breathe,breeze,stop,fricative,offset,training,,0,92,breathe,left
,CR,pound,pound,pound,pond,stop,stop,vowel,training,d,0,93,pound,left
V,FL,pain,pain,pen,pain,stop,nasal,vowel,training,,1,94,pain,right
,CR,bag,bag,bat,bag,stop,stop,offset,training,g,1,95,bag,right
,FL,draw,draw,jaw,draw,stop,vowel,onset,training,,1,96,draw,right
