FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
R,FL,ten,ten,ten,tan,stop,nasal,vowel,training,,0,97,ten,left
,CR,lip,lip,lib,lip,liquid,stop,offset,training,p,1,98,lip,right
,FL,verve,verve,verve,verb,fricative,fricative,offset,training,,0,99,verve,left
,CR,mob,mob,mob,mop,nasal,stop,offset,training,b,0,100,mob,left
R,FL,fall,fall,fall,fool,fricative,liquid,vowel,training,,0,101,fall,left
,CR,rode,rode,wrote,rode,liquid,stop,offset,training,d,1,102,rode,right
,CR,sad,sad,sat,sad,fricative,stop,offset,training,d,1,103,sad,right
R,FL,time,time,time,dime,stop,nasal,onset,training,,0,104,time,left
V,FL,soon,soon,sewn,soon,fricative,nasal,vowel,training,,1,105,soon,right
,CR,gild,gild,gild,guilt,stop,stop,offset,training,d,0,106,gild,left
R,FL,gloom,gloom,groom,gloom,stop,nasal,onset,training,,1,107,gloom,right
,CR,cop,cop,cop,cob,stop,stop,offset,training,p,0,108,cop,left
V,FL,gun,gun,gun,gum,stop,nasal,offset,training,,0,109,gun,left
,FL,tune,tune,tune,tone,stop,nasal,vowel,training,,0,110,tune,left
,CR,god,god,got,god,stop,stop,offset,training,d,1,111,god,right
,FL,fields,fields,feels,fields,fricative,fricative,offset,training,,1,112,fields,right
,CR,slide,slide,slight,slide,fricative,stop,offset,training,d,1,113,slide,right
R,FL,die,die,die,tie,stop,vowel,onset,training,,0,114,die,left
,FL,robes,robes,robes,ropes,liquid,fricative,offset,training,,0,115,robes,left
R,FL,team,team,teen,team,fricative,nasal,offset,training,,1,116,team,right
,CR,tuck,tuck,tuck,tug,stop,stop,offset,training,k,0,117,tuck,left
,FL,live,live,lib,live,liquid,fricative,offset,training,,1,118,live,right
,CR,mop,mop,mob,mop,nasal,stop,offset,training,p,1,119,mop,right
R,FL,pool,pool,pool,pull,stop,liquid,vowel,training,,0,120,pool,left
R,FL,teen,teen,teen,team,fricative,nasal,offset,training,,0,121,teen,left
,CR,hut,hut,hut,hug,fricative,stop,offset,training,t,0,122,hut,left
V,FL,ram,ram,ran,ram,liquid,nasal,offset,training,,1,123,ram,right
,CR,sit,sit,sit,sick,fricative,stop,offset,training,t,0,124,sit,left
,FL,cards,cards,cards,cars,stop,fricative,offset,training,,0,125,cards,left
,FL,peas,peas,peace,peas,stop,fricative,offset,training,,1,126,peas,right
,CR,lad,lad,lab,lad,liquid,stop,offset,training,d,1,127,lad,right
V,FL,thing,thing,thing,sing,fricative,nasal,onset,training,,0,128,thing,left
,FL,room,room,roam,room,liquid,nasal,vowel,training,,1,129,room,right
R,FL,cane,cane,came,cane,stop,nasal,offset,training,,1,130,cane,right
,CR,feet,feet,feed,feet,fricative,stop,offset,test1,t,1,1,feet2,right
R,FL,gave,gave,gave,cave,stop,fricative,onset,test1,,0,2,gave,left
,CR,bud,bud,bud,but,stop,stop,offset,test1,d,0,3,bud2,left
R,FL,dune,dune,dune,doom,stop,nasal,offset,test1,,0,4,dune,left
R,FL,moss,moss,mouse,moss,stop,fricative,vowel,test1,,1,5,moss,right
R,FL,dune,dune,doom,dune,stop,nasal,offset,test1,,1,6,dune2,right
,CR,duck,duck,duck,dug,stop,stop,offset,test1,k,0,7,duck2,left
R,FL,pen,pen,pan,pen,stop,nasal,vowel,test1,,1,8,pen2,right
R,FL,doom,doom,doom,dune,stop,nasal,offset,test1,,0,9,doom2,left
,CR,tab,tab,tab,tap,stop,stop,offset,test1,b,0,10,tab2,left
R,FL,cave,cave,gave,cave,stop,fricative,onset,test1,,1,11,cave,right
R,FL,wren,wren,wren,ran,liquid,nasal,vowel,test1,,0,12,wren,left
,CR,dug,dug,duck,dug,stop,stop,offset,test1,g,1,13,dug2,right
R,FL,mess,mess,mice,mess,nasal,fricative,vowel,test1,,1,14,mess2,right
R,FL,cave,cave,cave,gave,stop,fricative,onset,test1,,0,15,cave2,left
R,FL,run,run,rum,run,liquid,nasal,offset,test1,,1,16,run2,right
,CR,sack,sack,sag,sack,fricative,stop,offset,test1,k,1,17,sack2,right
R,FL,batch,batch,batch,patch,stop,affricate,onset,test1,,0,18,batch,left
R,FL,run,run,run,rum,liquid,nasal,offset,test1,,0,19,run,left
,CR,feed,feed,feet,feed,fricative,stop,offset,test1,d,1,20,feed2,right
R,FL,goal,goal,goal,coal,stop,liquid,onset,test1,,0,21,goal2,left
,CR,robe,robe,robe,rope,liquid,stop,offset,test1,b,0,22,robe2,left
,CR,sag,sag,sag,sack,fricative,stop,offset,test1,g,0,23,sag2,left
R,FL,ran,ran,wren,ran,liquid,nasal,vowel,test1,,1,24,ran,right
R,FL,hone,hone,hone,home,fricative,nasal,offset,test1,,0,25,hone2,left
,CR,but,but,but,bud,stop,stop,offset,test1,t,0,26,but2,left
R,FL,ran,ran,wren,ran,liquid,nasal,vowel,test1,,1,27,ran2,right
R,FL,patch,patch,batch,patch,stop,affricate,onset,test1,,1,28,patch2,right
,CR,tap,tap,tab,tap,stop,stop,offset,test1,p,1,29,tap2,right
R,FL,gave,gave,gave,cave,stop,fricative,onset,test1,,0,30,gave2,left
R,FL,pan,pan,pen,pan,stop,nasal,vowel,test1,,1,31,pan,right
,CR,rope,rope,robe,rope,liquid,stop,offset,test1,p,1,32,rope2,right
,CR,but,but,bud,but,stop,stop,offset,test2,t,1,1,but,right
R,FL,rum,rum,rum,run,liquid,nasal,offset,test2,,0,2,rum2,left
R,FL,home,home,hone,home,fricative,nasal,offset,test2,,1,3,home,right
,CR,sack,sack,sack,sag,fricative,stop,offset,test2,k,0,4,sack,left
R,FL,mess,mess,mess,mice,nasal,fricative,vowel,test2,,0,5,mess,left
,CR,tab,tab,tap,tab,stop,stop,offset,test2,b,1,6,tab,right
R,FL,moss,moss,mouse,moss,stop,fricative,vowel,test2,,1,7,moss2,right
R,FL,coal,coal,coal,goal,stop,liquid,onset,test2,,0,8,coal2,left
,CR,duck,duck,duck,dug,stop,stop,offset,test2,k,0,9,duck,left
R,FL,goal,goal,coal,goal,stop,liquid,onset,test2,,1,10,goal,right
R,FL,wren,wren,wren,ran,liquid,nasal,vowel,test2,,0,11,wren2,left
R,FL,coal,coal,goal,coal,stop,liquid,onset,test2,,1,12,coal,right
,CR,dug,dug,duck,dug,stop,stop,offset,test2,g,1,13,dug,right
R,FL,batch,batch,batch,patch,stop,affricate,onset,test2,,0,14,batch2,left
R,FL,hone,hone,home,hone,fricative,nasal,offset,test2,,1,15,hone,right
,CR,bud,bud,bud,but,stop,stop,offset,test2,d,0,16,bud,left
R,FL,patch,patch,patch,batch,stop,affricate,onset,test2,,0,17,patch,left
R,FL,pen,pen,pan,pen,stop,nasal,vowel,test2,,1,18,pen,right
R,FL,mice,mice,mice,mess,nasal,fricative,vowel,test2,,0,19,mice,left
,CR,rope,rope,rope,robe,liquid,stop,offset,test2,p,0,20,rope,left
R,FL,mouse,mouse,moss,mouse,nasal,fricative,onset,test2,,1,21,mouse,right
,CR,feed,feed,feet,feed,fricative,stop,offset,test2,d,1,22,feed,right
R,FL,doom,doom,dune,doom,stop,nasal,offset,test2,,1,23,doom,right
R,FL,pan,pan,pan,pen,stop,nasal,vowel,test2,,0,24,pan2,left
,CR,sag,sag,sack,sag,fricative,stop,offset,test2,g,1,25,sag,right
R,FL,home,home,hone,home,fricative,nasal,offset,test2,,1,26,home2,right
,CR,robe,robe,robe,rope,liquid,stop,offset,test2,b,0,27,robe,left
,CR,tap,tap,tab,tap,stop,stop,offset,test2,p,1,28,tap,right
R,FL,mice,mice,mice,mess,nasal,fricative,vowel,test2,,0,29,mice2,left
R,FL,rum,rum,run,rum,liquid,nasal,offset,test2,,1,30,rum,right
R,FL,mouse,mouse,mouse,moss,nasal,fricative,onset,test2,,0,31,mouse2,left
,CR,feet,feet,feet,feed,fricative,stop,offset,test2,t,0,32,feet,left
