FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,Left/Right
R,FL,sing,sing,sing,sin,fricative,nasal,offset,training,,0,48,sing,left
,CR,clock,clock,clock,clog,stop,stop,offset,training,k,0,47,clock,left
,FL,tomb,tomb,tune,tomb,stop,nasal,offset,training,,1,46,tomb,right
,FL,town,town,town,tone,stop,nasal,vowel,training,,0,45,town,left
,CR,lap,lap,lab,lap,liquid,stop,offset,training,p,1,44,lap,right
,CR,drug,drug,drug,jug,stop,stop,onset,training,g,0,43,drug,left
,FL,fail,fail,fell,fail,fricative,liquid,vowel,training,,1,42,fail,right
,CR,cut,cut,cut,cup,stop,stop,offset,training,t,0,41,cut,left
,FL,bull,bull,bull,ball,stop,liquid,vowel,training,,0,40,bull,left
,FL,breathe,breathe,breeze,breathe,stop,fricative,offset,training,,1,39,breathe,right
,CR,pound,pound,pond,pound,stop,stop,vowel,training,d,1,38,pound,right
V,FL,pain,pain,pain,pen,stop,nasal,vowel,training,,0,37,pain,left
,CR,bag,bag,bag,bat,stop,stop,offset,training,g,0,36,bag,left
,FL,draw,draw,draw,jaw,stop,vowel,onset,training,,0,35,draw,left
R,FL,ten,ten,tan,ten,stop,nasal,vowel,training,,1,34,ten,right
,CR,lip,lip,lip,lib,liquid,stop,offset,training,p,0,33,lip,left
,FL,verve,verve,verb,verve,fricative,fricative,offset,training,,1,32,verve,right
,CR,mob,mob,mop,mob,nasal,stop,offset,training,b,1,31,mob,right
R,FL,fall,fall,fool,fall,fricative,liquid,vowel,training,,1,30,fall,right
,CR,rode,rode,rode,wrote,liquid,stop,offset,training,d,0,29,rode,left
,CR,sad,sad,sad,sat,fricative,stop,offset,training,d,0,28,sad,left
R,FL,time,time,dime,time,stop,nasal,onset,training,,1,27,time,right
V,FL,soon,soon,soon,sewn,fricative,nasal,vowel,training,,0,26,soon,left
,CR,gild,gild,guilt,gild,stop,stop,offset,training,d,1,25,gild,right
R,FL,gloom,gloom,gloom,groom,stop,nasal,onset,training,,0,24,gloom,left
,CR,cop,cop,cob,cop,stop,stop,offset,training,p,1,23,cop,right
V,FL,gun,gun,gum,gun,stop,nasal,offset,training,,1,22,gun,right
