FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
|CR|good|good|good|could|stop|stop|onset|training|d|0|59|GOOD|left|E14|E14_CR_70dB_good
|CR|dig|dig|dig|dick|stop|stop|offset|training|g|0|60|DIG|left|E14|E14_CR_70dB_dig
R|FL|dime|dime|dime|time|stop|nasal|onset|training||0|61|DIME|left|E14|E14_FL_70dB_dime
|FL|curve|curve|curb|curve|stop|fricative|offset|training||1|62|CURVE|right|E14|E14_FL_70dB_curve
|CR|wait|wait|wade|wait|approximant|stop|offset|training|t|1|63|WAIT|right|E14|E14_CR_70dB_wait
|FL|gong|gong|gong|gone|stop|nasal|offset|training||0|64|GONG|left|E14|E14_FL_70dB_gong
|CR|bed|bed|bed|bet|stop|stop|offset|training|d|0|65|BED|left|E14|E14_CR_70dB_bed
R|FL|pull|pull|pool|pull|stop|liquid|vowel|training||1|66|PULL|right|E14|E14_FL_70dB_pull
V|FL|thin|thin|thing|thin|fricative|nasal|offset|training||1|67|THIN|right|E14|E14_FL_70dB_thin
|CR|late|late|late|laid|liquid|stop|offset|training|t|0|68|LATE|left|E14|E14_CR_70dB_late
|CR|lib|lib|lip|lib|liquid|stop|offset|training|b|1|69|LIB|right|E14|E14_CR_70dB_lib
|FL|game|game|game|came|stop|nasal|onset|training||0|70|GAME|left|E14|E14_FL_70dB_game
|CR|shout|shout|shot|shout|fricative|stop|vowel|training|t|1|71|SHOUT|right|E14|E14_CR_70dB_shout
V|FL|cores|cores|course|cores|stop|fricative|offset|training||1|72|CORES|right|E14|E14_FL_70dB_cores
V|FL|vein|vein|vein|wane|fricative|nasal|onset|training||0|73|VEIN|left|E14|E14_FL_70dB_vein
|CR|bad|bad|bad|bat|stop|stop|offset|training|d|0|74|BAD|left|E14|E14_CR_70dB_bad
|FL|rove|rove|robe|rove|liquid|fricative|offset|training||1|75|ROVE|right|E14|E14_FL_70dB_rove
|CR|got|got|god|got|stop|stop|offset|training|t|1|76|GOT|right|E14|E14_CR_70dB_got
V|FL|gum|gum|gum|gun|stop|nasal|offset|training||0|77|GUM|left|E14|E14_FL_70dB_gum
|CR|pet|pet|peck|pet|stop|stop|offset|training|t|1|78|PET|right|E14|E14_CR_70dB_pet
|FL|herds|herds|herds|hers|fricative|fricative|offset|training||0|79|HERDS|left|E14|E14_FL_70dB_herds
|CR|night|night|neck|night|nasal|stop|vowel|training|t|1|80|NIGHT|right|E14|E14_CR_70dB_night
R|FL|groom|groom|groom|gloom|stop|nasal|onset|training||0|81|GROOM|left|E14|E14_FL_70dB_groom
|FL|sends|sends|sends|sense|fricative|fricative|offset|training||0|82|SENDS|left|E14|E14_FL_70dB_sends
R|FL|sing|sing|sing|sin|fricative|nasal|offset|training||0|83|SING|left|E14|E14_FL_70dB_sing
|CR|clock|clock|clock|clog|stop|stop|offset|training|k|0|84|CLOCK|left|E14|E14_CR_70dB_clock
|FL|tomb|tomb|tune|tomb|stop|nasal|offset|training||1|85|TOMB|right|E14|E14_FL_70dB_tomb
|FL|town|town|town|tone|stop|nasal|vowel|training||0|86|TOWN|left|E14|E14_FL_70dB_town
|CR|lap|lap|lab|lap|liquid|stop|offset|training|p|1|87|LAP|right|E14|E14_CR_70dB_lap
|CR|drug|drug|drug|jug|stop|stop|onset|training|g|0|88|DRUG|left|E14|E14_CR_70dB_drug
|FL|fail|fail|fell|fail|fricative|liquid|vowel|training||1|89|FAIL|right|E14|E14_FL_70dB_fail
|CR|cut|cut|cut|cup|stop|stop|offset|training|t|0|90|CUT|left|E14|E14_CR_70dB_cut
|FL|bull|bull|bull|ball|stop|liquid|vowel|training||0|91|BULL|left|E14|E14_FL_70dB_bull
|FL|breathe|breathe|breeze|breathe|stop|fricative|offset|training||1|92|BREATHE|right|E14|E14_FL_70dB_breathe
|CR|pound|pound|pond|pound|stop|stop|vowel|training|d|1|93|POUND|right|E14|E14_CR_70dB_pound
V|FL|pain|pain|pain|pen|stop|nasal|vowel|training||0|94|PAIN|left|E14|E14_FL_70dB_pain
|CR|bag|bag|bag|bat|stop|stop|offset|training|g|0|95|BAG|left|E14|E14_CR_70dB_bag
