FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
R|FL|cane|cane|came|cane|stop|nasal|offset|training||1|1|CANE|right|E14|E14_FL_70dB_cane
|FL|room|room|roam|room|liquid|nasal|vowel|training||1|2|ROOM|right|E14|E14_FL_70dB_room
V|FL|thing|thing|thing|sing|fricative|nasal|onset|training||0|3|THING|left|E14|E14_FL_70dB_thing
|CR|lad|lad|lab|lad|liquid|stop|offset|training|d|1|4|LAD|right|E14|E14_CR_70dB_lad
|FL|peas|peas|peace|peas|stop|fricative|offset|training||1|5|PEAS|right|E14|E14_FL_70dB_peas
|FL|cards|cards|cards|cars|stop|fricative|offset|training||0|6|CARDS|left|E14|E14_FL_70dB_cards
|CR|sit|sit|sit|sick|fricative|stop|offset|training|t|0|7|SIT|left|E14|E14_CR_70dB_sit
V|FL|ram|ram|ran|ram|liquid|nasal|offset|training||1|8|RAM|right|E14|E14_FL_70dB_ram
|CR|hut|hut|hut|hug|fricative|stop|offset|training|t|0|9|HUT|left|E14|E14_CR_70dB_hut
R|FL|teen|teen|teen|team|fricative|nasal|offset|training||0|10|TEEN|left|E14|E14_FL_70dB_teen
R|FL|pool|pool|pool|pull|stop|liquid|vowel|training||0|11|POOL|left|E14|E14_FL_70dB_pool
|CR|mop|mop|mob|mop|nasal|stop|offset|training|p|1|12|MOP|right|E14|E14_CR_70dB_mop
|FL|live|live|lib|live|liquid|fricative|offset|training||1|13|LIVE|right|E14|E14_FL_70dB_live
|CR|tuck|tuck|tuck|tug|stop|stop|offset|training|k|0|14|TUCK|left|E14|E14_CR_70dB_tuck
R|FL|team|team|teen|team|fricative|nasal|offset|training||1|15|TEAM|right|E14|E14_FL_70dB_team
|FL|robes|robes|robes|ropes|liquid|fricative|offset|training||0|16|ROBES|left|E14|E14_FL_70dB_robes
R|FL|die|die|die|tie|stop|vowel|onset|training||0|17|DIE|left|E14|E14_FL_70dB_die
|CR|slide|slide|slight|slide|fricative|stop|offset|training|d|1|18|SLIDE|right|E14|E14_CR_70dB_slide
|FL|fields|fields|feels|fields|fricative|fricative|offset|training||1|19|FIELDS|right|E14|E14_FL_70dB_fields
|CR|god|god|got|god|stop|stop|offset|training|d|1|20|GOD|right|E14|E14_CR_70dB_god
|FL|tune|tune|tune|tone|stop|nasal|vowel|training||0|21|TUNE|left|E14|E14_FL_70dB_tune
V|FL|gun|gun|gun|gum|stop|nasal|offset|training||0|22|GUN|left|E14|E14_FL_70dB_gun
|CR|cop|cop|cop|cob|stop|stop|offset|training|p|0|23|COP|left|E14|E14_CR_70dB_cop
R|FL|gloom|gloom|groom|gloom|stop|nasal|onset|training||1|24|GLOOM|right|E14|E14_FL_70dB_gloom
|CR|gild|gild|gild|guilt|stop|stop|offset|training|d|0|25|GILD|left|E14|E14_CR_70dB_gild
V|FL|soon|soon|sewn|soon|fricative|nasal|vowel|training||1|26|SOON|right|E14|E14_FL_70dB_soon
R|FL|time|time|time|dime|stop|nasal|onset|training||0|27|TIME|left|E14|E14_FL_70dB_time
|CR|sad|sad|sat|sad|fricative|stop|offset|training|d|1|28|SAD|right|E14|E14_CR_70dB_sad
|CR|rode|rode|wrote|rode|liquid|stop|offset|training|d|1|29|RODE|right|E14|E14_CR_70dB_rode
R|FL|fall|fall|fall|fool|fricative|liquid|vowel|training||0|30|FALL|left|E14|E14_FL_70dB_fall
|CR|mob|mob|mob|mop|nasal|stop|offset|training|b|0|31|MOB|left|E14|E14_CR_70dB_mob
